Brand_ID,Brand_Name
A001798,탱글엔젤
A000734,탱글티저
A002751,포뷰트
A017353,핑크에이지
A001771,하나월드
A017321,헤레카
A000753,힐링배스
A001458,데싱디바
A003065,두스나뚜르
A008071,르멘트
A013713,모어
A011892,베베숲
A000280,비앤비
A000304,쉬즈라인
A003745,엣지유
A013712,오즈네일
A003062,위드샨
A000424,유기농본
A001803,콜만
A003296,크리스마
A003452,트라발로
A012114,팁시
A016036,팬그램
A008413,핑거수트
A017138,더마푸라민
A020488,스위스나린
A001243,디어러스
A011112,루에브르
A003896,코트
A003112,르미니마카롱
A003273,젤로젤로
A012032,디젤
A000201,셀리한센
A020906,오호라
A002147,큐티클스
A000330,티타니아
A003455,그로우어스
A012672,나인밀라
A020978,내주
A014532,네쉬
A003259,누들앤부
A001439,다이안
A002898,닥터그루트
A003584,닥터시드
A001441,닥터포헤어
A000115,도브
A003041,라보에이치
A020314,레스노베
A000406,려
A000084,로레알
A017184,로레알
A006311,로마
A003612,로이비
A003732,로픈
A003840,롱테이크
A000047,루시도엘
A017494,루테카
A003744,루톤
A020810,마이녹셀
A002859,멈칫
A003786,메디올
A003606,모다모다
A002325,모레모
A015713,모에브
A020798,몽잘
A017393,몽클로스
A009651,무백
A000786,무스텔라
A000124,미쟝센
A003247,밀크바오밥
A013412,바디브
A007931,바이브랩
A014193,바이아우어
A010131,바이오가
A000709,바티스트
A003933,보타믹스
A003502,부케가르니
A020301,브르카
A008231,블랙포레
A000692,사이오스
A011512,센녹
A009572,셀러버
A012532,솔랩
A017960,스위스
A002882,스팀베이스
A010312,시세이도
A000442,실크테라피
A009132,씨퓨리
A011932,아닐로
A003632,아르투아
A010531,아발론
A000883,아토팜
A000802,알페신
A020886,애쉬로렌
A020804,앤허니
A003551,어노브
A001734,얼라이브랩
A020569,에끌무아
A003291,에코글램
A004414,에퓨놀
A000067,엘라스틴
A010431,오디드
A021089,오라라
A021035,오르제나
A021008,오제닉스
A013316,오프온
A008371,올라플렉스
A020523,요루
A020485,원오세븐
A013672,위드비컨
A020959,이고세
A020940,이드르르
A000389,이지엔
A007531,저스트에즈아이엠
A002836,제니하우스
A002338,제이숲
A003371,줄라이미
A002901,차홍
A000559,츠바키
A003314,커리쉴
A015374,케라스타즈
A000052,케라시스
A002233,코랩
A001775,쿤달
A001444,클로란
A017036,탐즈
A003042,트루자임
A003848,트리셀
A020067,트리코닉스
A007632,티타드
A002821,파놀라
A015793,파이브센스
A000048,팬틴
A021162,퍼리키
A000842,포레스트스토리
A010091,폴미첼
A020004,프롬랩스
A003093,플란투어
A008051,피노
A008871,필립비
A007192,하아르
A002757,헤드스파7
A000128,헤드앤숄더
A002482,헤어플러스
A015953,헤이브로
A003272,힐링버드
A020042,SOOO
A001616,TS샴푸
A020484,나우앤댄
A021094,다노날
A005552,라이아
A020379,라입
A003418,루토닉스
A000004,마쉐리
A014813,사브와
A020486,시티르
A017133,아누코
A017002,어반트라이브
A003827,에이르보
A021090,오하입
A014192,핑크고스트
A002995,AZH
A017042,바디앤
A008191,라온느
A001416,무아스
A021065,셀티아라
A003739,어네이즈
A020599,엘립스
A006633,고잉그레이
A000064,꽃을든남자
A000192,다나한
A000200,리엔
A015013,모두봄
A002685,모레모
A003867,베네자임
A000013,세븐에이트
A000651,스킨베네핏
A001715,졸렌
A000577,프레쉬라이트
A006971,글램팜
A020735,글로우유
A000038,바비리스
A000493,베스
A000091,비달사순
A008831,샤크
A020559,오브룸
A001630,오아
A002452,웨신
A000116,유닉스
A003032,이오시카
A002501,제니퍼룸
A001626,제이엠더블유
A006212,켄트
A000481,필립스
A010551,휴브론
A021041,디포
A002902,라라츄
A020018,모이
A009031,아큼두
A006632,오루트
A001774,유리카
A009512,청담남자
A015954,고릴라왁싱
A000397,그린핑거
A016893,노도르
A001601,닥터틸즈
A003297,달란
A000866,더블유드레스룸
A001218,더프트앤도프트
A014474,라사본느리드니옹
A002698,라이콘
A003800,락토덤
A003532,랩스밤
A017283,럽센트
A003038,레이비
A003479,마르마르디
A015553,말콤
A002306,메르필
A014013,뮤센트
A016921,미차이
A000888,바디판타지
A000712,밤코스메틱
A003756,배쓰프로젝트
A003028,벨레다
A003457,벨먼
A006211,보로탈코
A002988,블랑101
A012376,비클리닉스
A017293,사봉
A001773,샤워메이트
A003587,솔테라피
A003294,스카이보틀
A004371,스킨유
A002969,썸블라썸
A017339,아디다스(뷰티)
A020150,아르베
A000290,아비노
A006191,아비노베이비
A012414,아윌미백
A010218,아토808
A003439,아토앤오투
A012594,알보우
A005771,엄마의목욕탕레시피
A020694,에가톳
A017980,오리지널소스
A003244,오울루
A020742,인버브
A014933,제이멜라
A000204,존슨즈
A003814,중심얼얼
A014493,지아자
A000400,지오마
A006911,취
A006631,클로로피
A017799,타가
A003875,타입넘버
A017038,탄
A017604,티슬로
A020849,티엘라
A013094,티컬렉티브
A003798,페이스인네이처
A020155,펠리칸솝
A003515,프라이멀
A005951,필리더스
A020911,힐그리즈
A015973,GBH
A016959,46cm
A020872,그레이즈포인트
A000815,나츄리에
A006131,바이컬러
A009591,비더마틱
A021053,비오엠
A002148,셀라피
A013332,아이보들
A020786,엠락틴
A001533,프라이웰
A007551,히든
A017862,닥터딥
A003797,미라이크
A009513,바니니
A001639,바디홀릭
A000719,바이오오일
A003280,아이젠틀맨
A002700,알롱
A000814,크리스탈
A003250,포르맨즈
A002294,필로소피
A017314,HDEX
A000239,네어
A007631,델링그
A006692,맨허스트
A002793,바나다왁싱
A000860,바디네이처
A000077,브라운
A001850,블락
A003905,숨바꼭지
A000082,쉬크
A016202,슬릭
A001716,아르코맨
A020186,와이즐리
A001795,위거
A016997,지저쓰
A000074,질레트
A001667,질레트
A016960,팀스모어
A003078,냉감테라피
A006637,에너비45
A009514,폴라레나
A017738,하우스오브밸런스
A001096,ms.44
A020582,딥퍼랑스
A007791,라피네르
A003416,로즐린
A006951,루아페
A020111,매드포코스
A000757,메소드
A017113,미세스마이어스
A000491,보령메디앙스
A007073,비비앙
A002415,생활공작소
A021091,세니티
A001148,소프리스
A012112,슬밋
A000298,아이깨끗해
A000188,아트릭스
A007431,애프터블로우
A020054,에프오티디
A002829,엠디스픽
A003784,오센트
A001857,오킵스
A015253,위칙
A001744,제이듀
A002797,코코도르
A000212,크리넥스
A007511,테일러센츠
A010217,투힐미
A020585,프라포투투
A020122,고운발
A004391,그랜즈레미디
A011272,단미
A002307,라보타치
A020534,리디에뜨
A000352,마더네스트
A020834,마스크킹
A020064,말표
A003687,바렌
A002752,베베풋
A003234,세라폼
A020247,에슬라이트
A000404,에프쓰리
A002718,역대급커먼스
A001765,오더이터
A003616,케라셀
A009515,쾌발
A003637,쿨풋
A003818,툴라
A008951,풀리오
A000372,홈스타
A000033,겐조
A020044,곤란
A000432,끌로에
A000586,나르시소
A014913,누다라
A003721,다비도프
A012712,데메테르
A000130,돌체앤가바나
A003593,드메모리아
A013272,든향
A020558,라멜린
A017290,라보라토리오
A009091,라임유
A000182,랄프로렌
A000063,랑방
A001808,레르드사봉
A003463,로맨띠끄
A002742,로샤스
A021100,로우바이브
A002866,롤리타렘피카
A003552,리베르
A007811,마이클코어스
A020224,마인드오버바디
A020878,마크니
A000265,마크제이콥스
A001003,메르세데스
A003613,메모
A012132,모멘센트
A000287,모스키노
A000646,몽블랑
A014132,미한
A000017,버버리
A006571,베르두
A000040,베르사체
A020985,벨벳바니
A013096,부씨
A006751,빌리아일리시
A015033,사브리나카펜터
A015913,센틀리에
A002778,쇼파드
A017115,스침
A012852,슬로우허밍
A020448,시머스
A003647,썽봉
A012372,아뜰리에페이
A012373,아로
A003874,아르카디아
A002994,아리아나그란데
A002830,아프리모
A005691,어스
A003423,에이딕트
A020772,에틀리에
A005236,엔시피
A020021,우나
A013992,우먼시크릿
A000221,이세이미야케
A000241,제니퍼로페즈
A000551,존바바토스
A000612,지미추
A000057,캘빈클라인
A000855,코치
A000590,클린
A000185,타미힐피거
A013095,탄젠트GC
A012832,토리버치
A000425,토스
A020043,투데이이즈
A016853,티블레스
A000095,페라가모
A017057,포스테스
A012595,호텔도슨
A015394,홀리바넘
A000703,4711
A013174,베뉴먼트
A017056,센티카
A010219,엘리자베스
A016375,오브먼트
A021078,오브제바이쿤달
A007971,탐니크
A021043,겟잇클린
A012593,글래드호텔
A007671,글로썸
A014514,꾸까
A003458,나그참파
A020738,내셔널지오그래픽
A003891,노티프
A010271,다우니
A002492,단순생활
A020541,더티린넨
A020045,데이니스
A003237,디밤비
A020966,디어커스
A020879,디오바스크
